id,class
188533,37286.055324717425
188534,68512.53055727156
188535,60005.67556587374
188536,47439.1670547938
188537,50377.0347343781
188538,25335.431337172166
188539,-2606.0204378962517
188540,51876.17478948785
188541,68395.82908155536
188542,49304.48331513489
188543,43177.65274135396
188544,-7213.090423154179
188545,61533.44320622785
188546,75068.43397508748
188547,-4681.983890716918
188548,72165.60794039676
188549,42009.60634850431
188550,-1623.7939541526139
188551,66831.50712392153
188552,63880.8297624425
188553,62451.225162898656
188554,43566.98809566116
188555,47083.86470176652
188556,31920.292582223658
188557,21236.466476701666
188558,68271.62839562632
188559,25922.289478720166
188560,11007.743125000503
188561,61901.12780463928
188562,34068.8991183741
188563,71547.57093946496
188564,61755.41170591302
188565,45872.20030073635
188566,41880.829719965346
188567,25152.485306571238
188568,55512.061360326596
188569,20925.35054525826
188570,18111.4582044743
188571,44067.66472984478
188572,71304.64726196788
188573,37325.64287427254
188574,53186.82859278098
188575,50225.17932156334
188576,51389.09259592462
188577,9759.608500524424
188578,33710.54391700216
188579,53529.72394321533
188580,49460.99756579939
188581,71640.96793015534
188582,42684.64517222857
188583,72756.95532010775
188584,36922.92110804515
188585,45727.51830239035
188586,42601.3532484062
188587,56902.698751272634
188588,45423.178435727954
188589,2012.0137422098778
188590,33303.2642846955
188591,28464.953352320008
188592,42156.69217193546
188593,37798.17659985926
188594,64005.040224496275
188595,25237.223800756503
188596,42000.98226843448
188597,44881.30456983764
188598,45900.7447941266
188599,24304.23348928988
188600,58257.8942148909
188601,62891.6199041279
188602,54641.384619628545
188603,77546.36836000904
188604,10892.147894772701
188605,43072.72528611077
188606,49855.250642650295
188607,65828.36511749402
188608,28053.508842088748
188609,58618.01376446942
188610,55013.08578412188
188611,40417.892216189764
188612,60245.62890078686
188613,45144.25542852562
188614,1510.1429800847545
188615,47207.519984854385
188616,63647.529759429395
188617,54101.88958376413
188618,32886.24997682776
188619,65691.14757095883
188620,23801.770663563162
188621,44114.8470614166
188622,74288.71027929103
188623,64036.4139907239
188624,44302.912503110245
188625,39552.520409069024
188626,9933.885582471732
188627,75016.70917382557
188628,76189.1405798723
188629,38313.37433850905
188630,36656.47817283869
188631,72250.91572284978
188632,50037.532790886704
188633,65597.13285644492
188634,7750.227231736761
188635,58145.14961396484
188636,56582.99492519256
188637,15197.315986416303
188638,39254.461741280276
